label_id	source	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	annotationColor
1	Base1	11.301	18.295	8.424	11.024	17.792	7.856	11.52	18.544	8.736	3369	0-255-0-255
2	Base2	11.524	18.118	9.742	11.104	17.888	9.12	11.952	18.272	10.288	4981	0-255-0-255
3	Body1	11.234	18.602	8.088	11.072	18.56	7.744	11.36	18.656	8.4	1083	0-255-0-255
4	Body2	13.967	12.951	11.630	11.664	9.888	7.264	16.592	18.208	13.68	58710	0-255-0-255
