label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels
2	11.38	16.60	2.67	10.50	16.40	2.30	11.94	16.85	3.26	22983
3	12.93	14.06	9.02	11.14	11.54	4.30	14.59	15.65	12.51	249731
4	7.75	17.44	4.84	7.31	16.69	4.70	8.26	18.08	4.94	17747
5	9.77	14.20	9.53	8.70	12.37	3.49	11.58	15.84	13.82	301051
6	7.95	15.73	2.51	7.39	15.47	2.06	8.54	15.92	2.96	15699
8	8.99	15.98	2.13	8.24	15.70	1.57	9.44	16.26	3.14	14376
9	8.48	11.88	3.74	8.13	11.18	3.07	8.78	13.07	4.53	33580
10	7.45	17.00	3.86	7.06	16.77	3.34	7.94	17.20	4.62	26473
11	10.78	14.82	2.35	10.43	14.66	1.82	11.09	15.02	2.94	12937
12	8.66	16.18	2.11	8.42	15.58	1.36	8.93	16.88	3.14	28802
13	8.05	12.45	7.00	7.65	10.50	6.72	8.38	14.45	7.28	50312
14	7.24	11.56	7.11	6.66	10.75	6.74	7.94	12.59	7.38	27325
15	7.11	12.82	6.82	6.58	12.21	6.50	7.66	13.38	7.14	15705
16	12.79	11.96	4.18	12.46	10.40	3.89	13.14	13.52	4.83	41239
17	11.28	10.58	4.34	10.56	10.37	3.63	11.79	10.80	5.06	22466
18	8.98	11.77	3.71	8.51	10.83	3.36	9.60	12.77	4.03	28259
19	10.62	14.42	1.90	10.40	14.18	1.33	10.99	14.66	2.80	15261
20	9.68	15.73	1.81	9.52	15.33	1.55	9.86	16.02	2.05	7775
21	9.68	13.08	2.19	9.42	12.74	1.62	9.90	13.26	3.12	23780
22	11.27	12.61	2.65	10.72	12.43	2.48	11.71	12.82	2.77	7055
23	11.05	13.52	2.48	10.85	13.17	2.10	11.31	13.90	3.07	12132
24	11.37	14.76	2.87	10.82	14.58	2.32	11.98	15.04	3.70	20501
25	7.43	15.82	3.82	6.51	15.04	3.41	8.53	16.86	4.22	30280
26	8.43	12.82	3.17	7.90	12.53	2.56	9.04	13.15	3.92	20485
27	9.43	16.15	2.04	9.26	15.70	1.89	9.62	16.53	2.22	8317
28	7.95	14.71	2.81	7.30	13.98	2.35	8.70	15.76	3.47	36344
29	7.37	13.08	3.83	6.93	12.72	3.26	8.05	13.52	4.32	22268
30	7.02	16.31	5.71	6.35	15.73	5.26	7.74	16.93	6.13	24860
31	6.58	13.28	7.05	5.58	12.99	6.62	7.63	13.52	7.30	23383
32	8.25	14.98	2.49	7.84	14.56	2.06	8.54	15.46	3.06	14801
33	8.52	15.74	1.76	8.11	15.50	1.25	8.82	16.10	2.54	20889
34	7.38	11.60	5.57	6.69	10.94	5.33	8.34	12.21	5.73	23345
35	10.34	10.86	3.72	9.73	10.16	3.33	10.85	11.81	4.03	21557
36	15.01	11.29	7.56	14.06	10.38	7.06	15.82	12.67	7.86	44173
37	15.29	11.81	9.76	15.10	11.33	9.04	15.49	12.16	10.26	17627
38	15.58	12.09	9.58	15.26	11.79	8.54	15.86	12.43	10.26	23749
39	16.12	13.32	7.11	15.39	12.64	6.90	16.82	13.81	7.39	20241
40	7.19	13.74	4.49	6.40	13.33	3.87	8.08	14.45	5.14	30531
41	7.97	12.11	4.04	7.50	11.47	3.66	8.46	12.82	4.54	20884
