label_id	source	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_pixels	annotationColor
2	muco1	9.87	17.72	10.78	9.74	17.55	10.59	9.98	17.94	10.93	3383	199-118-0-255
3	muco2	10.13	17.81	10.72	10.02	17.66	10.53	10.26	17.97	10.88	3250	255-146-0-255
4	muco3	9.03	18.48	9.33	8.88	18.34	9.15	9.17	18.62	9.46	3623	197-117-0-255
5	muco4	9.81	11.44	2.76	9.6	11.06	2.59	10.03	11.7	2.98	11817	201-119-0-255
6	muco5	10	11.21	3	9.78	10.99	2.58	10.21	11.46	3.26	13092	253-145-0-255
7	muco6	11	11.41	2.94	10.78	11.18	2.72	11.22	11.63	3.17	10694	221-129-0-255
8	muco7	11.81	11.6	3	11.55	11.31	2.74	12.06	11.86	3.22	15263	237-137-0-255
9	muco8	9.47	11.73	2.71	9.25	11.42	2.45	9.7	11.98	2.94	12668	251-144-0-255
10	muco9	11.32	11.76	3.46	11.15	11.44	3.25	11.49	12.1	3.66	10920	227-132-0-255
11	muco10	11.25	11.92	3.18	10.93	11.62	3.06	11.58	12.21	3.31	11323	207-122-0-255
12	muco11	8.95	11.2	3.17	8.69	10.94	2.86	9.17	11.46	3.38	12140	213-125-0-255
13	muco12	11.22	11.03	3.53	10.99	10.74	3.34	11.42	11.31	3.74	12076	215-126-0-255
14	muco13	11.57	11.26	3.62	11.38	11.06	3.39	11.78	11.46	3.81	8292	203-120-0-255
15	muco14	10.79	11.71	2.76	10.58	11.36	2.46	10.99	11.98	3.01	13084	219-128-0-255
16	muco15	10.57	10.63	4.2	10.35	10.38	3.92	10.82	10.9	4.59	19360	217-127-0-255
17	muco16	8.71	11.54	3.12	8.53	11.25	2.93	8.91	11.78	3.31	8839	243-140-0-255
18	muco17	10.02	12.05	2.36	9.79	11.73	2.13	10.24	12.34	2.59	14660	247-142-0-255
19	muco18	9.01	11.77	2.75	8.78	11.39	2.51	9.23	12.03	2.99	14338	211-124-0-255
20	muco19	11	12.11	2.47	10.77	11.87	2.13	11.23	12.42	2.72	14948	241-139-0-255
21	muco20	10.44	12.02	2.44	10.22	11.74	2.11	10.69	12.27	2.67	13131	223-130-0-255
22	muco21	10.28	11.42	2.76	10.08	11.17	2.54	10.46	11.66	2.98	8670	205-121-0-255
23	muco22	8.64	12.05	2.82	8.43	11.65	2.54	8.83	12.38	3.07	16392	235-136-0-255
24	muco23	11.25	11.16	3.12	11.01	10.91	2.82	11.49	11.44	3.33	13026	249-143-0-255
25	muco24	11.76	11.07	3.97	11.54	10.78	3.76	11.98	11.3	4.21	12201	245-141-0-255
26	muco25	8.01	11.75	3.35	7.79	11.41	3.15	8.22	12.02	3.58	13780	231-134-0-255
27	muco26	9.29	10.97	3.21	9.06	10.74	2.9	9.5	11.2	3.49	12566	229-133-0-255
28	muco27	10.04	10.86	3.26	9.79	10.64	2.93	10.34	11.09	3.55	13351	233-135-0-255
30	muco28	11.03	10.18	4.51	10.86	9.94	4.24	11.18	10.38	4.82	8804	209-123-0-255
31	muco29	7.15	13.65	5.39	6.99	13.49	5.18	7.3	13.82	5.6	5449	239-138-0-255
32	muco30	8.95	13.89	5.28	8.78	13.76	5.12	9.09	14.03	5.44	3322	225-131-0-255
